你	39.42999
我	39.13690
吗	38.06327
很	38.00821
老师	37.77074
是	37.75314
的	37.25881
他	37.03322
谁	36.97210
不	36.92283
朋友	36.73256
这	36.71810
也	36.57986
谢谢	36.34095
您	36.22116
呢	36.02071
个	35.16969
有	35.10928
学生	34.93677
她	34.87679
再见	34.85764
还	34.79925
哪	34.75632
现在	34.68495
人	34.59344
去	34.49578
什么	34.39527
今天	34.35965
几	34.29125
名字	34.20979
明天	34.13843
爸爸	34.05049
我们	33.92014
都	33.90085
可以	33.85985
好	33.43548
姓	33.41678
书	33.28966
两	33.15580
那	33.07831
妈妈	32.96980
二	32.93988
买	32.83604
星期	32.81314
大	32.78778
小	32.62770
对不起	32.52909
怎么样	32.18163
四	32.07821
妹妹	32.05647
哥哥	32.02516
号	32.01597
叫	31.98231
昨天	31.95696
知道	31.87726
看	31.83830
学校	31.78722
多少	31.70629
工作	31.69996
吃	31.58331
晚上	31.48274
一	31.47559
家	31.36199
太	31.30503
和	31.29638
月	31.28541
岁	31.24461
忙	31.22479
先生	31.10584
六	31.10288
八	31.09338
来	30.98132
只	30.96345
同学	30.94145
七	30.90891
认识	30.90842
十	30.90547
在	30.89402
对	30.85276
钱	30.76346
半	30.74495
姐姐	30.73753
喜欢	30.72352
没	30.62143
汉语	30.57681
三	30.48682
喝	30.44193
给	30.37704
想	30.35115
学习	30.33061
住	30.29167
坐	30.26499
贵	30.20076
九	30.19781
下午	30.13562
中国	30.09394
张	30.08518
东西	30.00595
再	30.00315
多	29.92896
本	29.84347
时候	29.79507
块	29.76309
高兴	29.73623
五	29.68373
吧	29.65636
生日	29.63357
怎么	29.62324
漂亮	29.61976
长	29.59137
做	29.55578
真	29.48028
上午	29.46933
过	29.45292
弟弟	29.33590
小姐	29.29935
问	29.27233
茶	29.25269
上	29.18886
要	29.08482
介绍	29.07511
没关系	29.07472
请	28.95152
等	28.75865
睡觉	28.73503
时间	28.73148
件	28.70227
衣服	28.51919
房间	28.49572
商店	28.44816
能	28.42626
课	28.25298
啊	28.10665
电影	28.08750
电视	28.07665
了	27.90043
一起	27.75425
年	27.72428
听	27.67074
早上	27.66568
地方	27.38394
先	27.34248
得	27.25933
热	27.25268
累	27.11373
写	27.11094
哪儿	27.09161
大家	27.08547
每	27.05512
新	26.99687
快	26.95711
找	26.94326
水	26.89820
会	26.87644
最	26.87584
到	26.82024
开始	26.67534
就	26.41360
欢迎	26.40562
菜	26.39807
还是	26.33543
图书馆	26.26085
休息	26.24613
点	26.22636
女儿	26.20792
一共	26.20533
用	26.19047
少	26.18861
天气	26.17267
问题	26.15755
冷	26.14328
以后	26.04537
觉得	25.97819
桌子	25.90833
百	25.86566
为什么	25.86194
便宜	25.84837
颜色	25.80547
楼	25.72283
可是	25.71406
非常	25.59614
字	25.57642
咖啡	25.57127
从	25.49642
位	25.42448
公司	25.35221
高	25.31052
所以	25.28000
起床	25.23897
告诉	25.23229
条	25.20626
远	25.20116
回	25.13707
懂	25.13031
喂	25.12008
你们	25.04868
因为	25.04733
进	24.95542
考试	24.94680
医生	24.93506
当然	24.92522
旁边	24.92199
一定	24.84301
教室	24.82369
难	24.68603
身体	24.67067
中午	24.65312
孩子	24.63131
种	24.52990
送	24.51472
中文	24.49753
跟	24.41508
容易	24.35420
医院	24.34750
开	24.33241
水果	24.31276
走	24.24094
离	24.15663
路	24.12574
公共汽车	24.10162
零	24.06682
分钟	24.00278
自行车	23.98778
票	23.98729
错	23.98070
次	23.95145
分	23.93637
音乐	23.90874
千	23.87646
去年	23.77721
穿	23.72731
儿子	23.69825
卖	23.59925
应该	23.52917
已经	23.50514
最近	23.48926
小时	23.46430
舒服	23.46065
游泳	23.45708
说	23.45420
以前	23.45378
宿舍	23.37598
礼物	23.28011
飞机	23.23398
银行	23.22977
红	23.16118
教	23.14960
里	23.11204
比	23.09895
慢	23.07433
别	23.06347
但是	23.05065
椅子	23.03938
爱	22.99945
下	22.93846
有名	22.89131
然后	22.84412
门	22.83697
米饭	22.82674
练习	22.78908
啤酒	22.71215
方便	22.64735
近	22.64254
毛	22.61806
运动	22.56525
祝	22.55544
让	22.55406
一会儿	22.52005
才	22.51200
请问	22.50643
自己	22.46995
